
============================================================
GALAXY PARLAY - DATABASE POPULATION
============================================================

[1/3] Fetching historical fixtures (2023-2025)...
This will take 5-10 minutes...
2026-01-30 15:26:09 [info     ] Starting historical data population
2026-01-30 15:26:34 [info     ] apifootball_cache_hit          cache_age_seconds=0 endpoint=fixtures params={'league': 135, 'season': 2025, 'status': 'FT'}
2026-01-30 15:26:34 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 520, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:35 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:35 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 523, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:35 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:35 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 801, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:36 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:36 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 867, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:36 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:36 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 487, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:36 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:37 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 488, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:37 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:37 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 489, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:37 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:37 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 490, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:37 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:38 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 492, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:38 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:38 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 494, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:38 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:38 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 495, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:38 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:38 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 496, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:39 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:39 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 497, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:39 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:39 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 499, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:40 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:40 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 500, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:40 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:41 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 502, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:41 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:41 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 503, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:41 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:41 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 504, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:42 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:42 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 505, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:42 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:42 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 895, 'league': 135, 'season': 2025} results=11
2026-01-30 15:26:42 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:42 [info     ] Team stats stored              count=20 league=Serie A season=2025
2026-01-30 15:26:42 [info     ] Fetching fixtures              league=Ligue 1 season=2025 status=FT
2026-01-30 15:26:43 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 61, 'season': 2025, 'status': 'FT'} results=171
2026-01-30 15:26:43 [info     ] fixtures_upserted              count=171
2026-01-30 15:26:43 [info     ] Fixtures stored                count=171 league=Ligue 1 season=2025
2026-01-30 15:26:43 [info     ] Fetching team stats            league=Ligue 1 season=2025
2026-01-30 15:26:43 [info     ] apifootball_cache_hit          cache_age_seconds=0 endpoint=fixtures params={'league': 61, 'season': 2025, 'status': 'FT'}
2026-01-30 15:26:43 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 96, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:43 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:43 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 97, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:44 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:44 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 106, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:44 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:44 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 108, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:44 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:44 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 77, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:45 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:46 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 111, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:46 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:46 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 80, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:46 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:46 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 81, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:46 [info     ] team_statistics_upserted       count=1
